assessmentItemID,testId,text,answer,KnowledgeTag,choice0,choice1,choice2,choice3,grade
19,무한도전,2015년 3월부터 4월까지 방영된 무한도전의 식스맨 특집에서 6번째 멤버로 선발된 사람은 누구인가?,0,0,황광희,길,조세호,전진,1
20,워너원,엠넷의 PRODUCE 101 시즌 2에서 구성된 11인조 보이 그룹의 이름은?,1,0,비스트,워너원,엑소,IKON,0
21,EXO,EXO의 <늑대와 미녀>이후에 낸 앨범으로 국내외에서 신드롬을 일으킨 곡은?,2,0,증독,Love Shot,으르렁,LIGHTSABER,0
22,소녀시대,KBS 드라마 쾌도 홍길동의 OST 만약에를 불러 큰 인기를 얻은 소녀시대의 멤버는?,3,0,윤아,티파니,제시카,태연,0
23,소녀시대,소녀시대는 몇 명으로 된 걸그룹인가?,2,0,6,7,8,9,2
24,싸이,싸이는 메인 심사위원으로 활동했던 대국민 오디션 프로그램은?,1,0,나는 가수다,슈퍼스타K 4,슈퍼스타K 3,슈퍼스타K 2,2
25,소녀시대,대한민국 8인조 걸그룹으로 소녀들이 평정할 시대라는 의미를 지니고 있는 걸그룹은?,0,0,소녀시대,원더걸즈,여자친구,여성평정,0
26,소녀시대,소녀시대는 어떤 그룹의 여자 버전으로서 만들어졌는가?,1,0,동방신기,슈퍼주니어,투피엠,유키스,0
27,소녀시대,소녀시대를 만든 음악 업체는?,2,0,JYP,YG 엔터테인먼트,SM 엔터테인먼트,빅히트,0
28,소녀시대,소녀시대의 그룹명을 직접 지은 사람은?,2,0,태연,보아,이수만,강타,1
29,소녀시대,소녀시대는 어느 나라의 걸그룹인가?,1,0,일본,대한민국,중국,미국,0
30,비_(가수),가수 비가 앨범 Rainism을 발매한 해는?,3,0,2005년,2006년,2007년,2008년,1
31,윤미래,윤미래가 퓨쳐 라이거로 활동하게된 계기는 어떤 프로그램 때문인가?,2,0,Show Me The Money,런닝맨,무한도전,슈퍼 스타 K,1
32,소녀시대,소녀시대 윤아가 첫 번째 정규 앨범 활동 후 캐스팅 된 드라마는?,0,0,너는 내 운명,사랑비,허쉬,처음이라서,0
33,싸이,싸이는 어떤 혐의로 구속되었는가?,1,0,성매매,대마초,탈세,폭행,0
34,싸이,싸이의 본명은 무엇인가?,2,0,박재원,박원호,박재상,박중훈,0
35,싸이,2012년에 싸이의 히트 곡이면서 유머러스한 뮤직비디오와 무대공연이 국제적으로 유명세를 탔던 곡은?,3,0,챔피언,GENTLEMAN,Hangover,강남스타일,0
36,무한도전,무한도전에서 제7의 멤버라 불리는 자막의 글씨체는 무엇인가?,3,0,신명조,돋움체,얉은샘물,궁서체,1
37,EXO,엑소의 소속사는?,2,0,JYP,빅히트,SM 엔터테인먼트,YG 엔터테인먼트,1
38,소녀시대,소녀시대는 Oh라는 노래에서 누구의 마음을 사로잡았나?,3,0,미국팬,여성팬,십대,삼촌팬,1
39,무한도전,2009년 3월 무한도전은 대통령을 닮은 일반인 출연자가 대선 광고를 패러디한것을 방송했는데 해당 대통령의 이름은?,0,0,이명박,박근혜,김대중,노무현,0
0,조선,남인은 무슨 사상을 대표하는가?,0,1,왕권중시 사상,온건개화 사상,실학,척화론,2
1,조선,어느 위치에 있는자를 끌어내라는 것을 무엇이라 하는가?,0,1,탄핵,폐위,해고,귀양,0
2,조선,영조의 탕평정치를 계승한 왕은?,2,1,경종,숙종,정조,순조,1
3,한국_전쟁,한반도가 타의에 의해 남과 북으로 분단된 것은 언제인가?,3,1,1942년,1943년,1944년,1945년,1
4,한국_전쟁,남로당의 대한민국 내 활동과 소련의 지지에 고무되어 38선 이남으로 진격한 사람은 누구인가?,3,1,김정일,김광협,박헌영,김일성,0
5,조선,명성황후 살해 사건은?,1,1,기유각서,을미사변,경술국치,아관파천,0
6,조선,오랫동안 조선 정치권력의 기본 구조였던 정치는?,2,1,간접 민주주의,원로원 회의,붕당정치,신정정치,1
7,한국_전쟁,유엔의 의결에 따라 총사령관으로 온 사람은 누구인가?,3,1,아이젠하워,존 패튼,몽고메리,더글러스 맥아더,0
8,조선,고종의 아버지는?,0,1,흥선군,철종,흥안군,헌종,0
9,조선,광해군을 몰아내고 인조를 왕위에 올린 사건은?,1,1,이괄의 난,인조반정,계유정난,무인정사,0
10,조선,새종대왕이 만든 우리나라의 언어는?,2,1,훈몽자회,동국정운,훈민정음,주시경,0
11,한국_전쟁,한국휴전협정이 체결된 것은 몇 년인가?,2,1,1951년,1952년,1953년,1950년,0
12,제1차_왕자의_난,태조의 다음 왕 이름은?,0,1,정종,태종,세종,영조,2
13,조선,고종의 아내이자 일본으로부터 시해당한 사람은?,3,1,철인황후,기황후,효의황후,명성황후,0
14,조선,조선'이라는 국호는 어느 국가의 국호로 사용되었나?,0,1,대한제국,대한민국,일본제국,고조선,1
15,한국_전쟁,1950년 6월 25일 새벽에 조선민주주의인민공화국이 대한민국을 침공하여 발발한 전쟁은 무엇인가?,0,1,한국전쟁,제2차세계대전,제1차세계대전,이라크전쟁,0
16,조선,임진왜란으로 피난을 떠난 조선의 왕은?,1,1,정조,선조,태조,문종,1
17,조선,순조의 장인 김조순이 정권을 장악하여 안동 김씨의 집안의 어떤 정치가 시작되었는가?,2,1,붕당정치,탕평정치,세도정치,척신정치,0
18,조선,1897년 고종이 선포한 우리나라 국호는?,2,1,대한민국,고조선,대한제국,대일본제국,0
19,조선,조선에서는 찬반양론이 엇갈렸으나 결국 개항 찬성론자들의 입지가 강화되어 일본과 어떤 조약을 체결하여 문화를 개방하였는가?,0,1,강화도조약,을사조약,조미수호통상조약,문화조약,1
20,한국_전쟁,한국전쟁은 몇 년에 발발했는가?,3,1,1952년,1953년,1951년,1950년,0
21,한국_전쟁,북한은 한국전쟁 당시 대량의 군수무기를 어디로부터 제공받았나?,0,1,소련,중국,일본,필리핀,0
22,한국_전쟁,미국과 소련이 한반도를 나누어 통치하기로 한 것은 어느 시대의 영토를 기준으로 했는가?,1,1,고구려,백제,신라,발해,2
23,한국_전쟁,9월 15일 더글러스 맥아더가 총지휘하에 감행하여 성공한 작전은 무엇인가?,0,1,인천상륙작전,노르망디상륙작전,나폴리항구공습작전,허스키작전,0
24,조선,갑오개혁에 영향을 준 나라는?,3,1,중국,소련,미국,일본,1
25,아우구스투스,옥타비아누스에게 주어진 아우구스투스라는 칭호의 뜻은?,1,1,이빨,존엄자,황태자,대장군,1
26,송나라의_역대_황제,송나라의 고종의 아버지는?,3,1,문종,단종,정종,휘종,2
27,한국_전쟁,김일성이 만난 중화인민공화국의 통치자는 누구인가?,3,1,함소원,등소평,장제스,마오쩌둥,0
28,한국_전쟁,한국 전쟁 발발일은 언제인가?,0,1,1950년 6월 25일,1949년 6월 25일,1951년 6월 25일,1953년 6월 25일,0
29,한국_전쟁,스탈린은 어느 나라가 대한민국을 지켜주지 않을 것이라고 말했는가?,2,1,호주,일본,미국,중국,0
30,한국_전쟁,38선 이남을 점령하기로 한 나라는 무엇인가?,2,1,호주,일본,미국,중국,0
31,조선,동학농민 운동의 진압을 명분으로 조선에 들어온 나라는?,1,1,금나라,청나라,오나라,명나라,0
32,조선,조선시대에 관료들이 파벌을 이루며 당쟁을 벌이던 정치는?,1,1,탕평정치,붕당정치,척신정치,세도정치,1
33,안중근,갑신정변이 일어난 때는?,3,1,1885년,1887년,1882년,1884년,2
34,조선,한글을 창제한 조선의 왕은?,0,1,세종,세조,태조,태종,0
35,조선,고종의 아버지이자 쇄국정책을 시행한 사람은?,2,1,광해군,연산군,흥선대원군,수양대군,0
36,조선,1890년대에 농민 수탈에 대한 저항으로 무슨 운동이 일어났습니까?,3,1,3.1운동,농민수탈운동,농민대참여운동,동학농민운동,0
37,송나라의_역대_황제,중국 제국의 수장은 어떻게 불리었는가?,0,1,황제,대제,제왕,대장,0
38,한국_전쟁,한국전쟁 말기 세계 각국은 어느 전쟁이 일어날 가능성에 대해 우려했는가?,1,1,제2차세계대전,제3차세계대전,제1차세계대전,정상결전,0
39,안중근,윤봉길 이봉창 백정기 등 독립운동가가 안장된 곳은?,0,1,효창공원,어린이대공원,현충원,선정릉,2
0,사회주의,컴퓨터 시스템이 발달하면서 1990년 초반부터 나온 사회주의 경제이론은?,3,2,데블런효과,깨진유리창의 역설이론,케인즈의 십자가이론,탈집중화이론,1
1,사회주의,소비에트 계획 경제를 현재 시행하고 있는 유일한 국가는?,0,2,쿠바,북한,중국,소련,0
2,비디오_게임_문화,사용자의 활동적인 움직임을 유발하여 가족끼리 재미있게 즐길 수 있는 게임기는 무엇인가?,0,2,Wii 콘솔,닌텐도 스위치,psp,게임보이어드벤쳐,0
3,사회주의,20세기 탄생한 베니토 무솔리니가 계승한 사회주의는?,3,2,국가주의,전체주의,자본주의,파시즘,0
4,비디오_게임_문화,게임으로 생긴 우정은 무엇의 제약을 받지 않는가?,2,2,시간적 근접성,정신적 근접성,물리적 근접성,연령 차이,0
5,비디오_게임_문화,wii 스포츠와 wii 게임을 통해서 사용자의 활동적인 움직임을 이끌어내며 유저 층을 넓힌 게임회사는?,0,2,닌텐도,소니,넥슨,컴투스,0
6,브이_포_벤데타_(영화),2차 대전 중 자유 프랑스의 상징이었던 것은?,3,2,통곡의 벽,프랑스 국기,파리 등대,로레인 십자가,2
7,비디오_게임_문화,전 세계적으로 새롭게 등장한 비디오 게임 문화는 무엇을 바탕으로 만들어졌는가?,0,2,비디오 게임,컴퓨터 게임,모바일 게임,신문,2
8,비디오_게임_문화,게임이 스포츠화 되었다는 것을 의미하는 용어는?,1,2,G-스포츠,E-스포츠,S-스포츠,I-스포츠,0
9,비디오_게임_문화,McLuhan이 제시한 것으로 사람들이 공간을 초월하여 전 세계적으로 소통할 수 있다는 개념을 가리켜 무엇이라고 하는가?,1,2,집성촌,지구촌,우주촌,세계촌,1
10,부활절,부활절은  누구의 부활을 기념하는 날인가?,1,2,마리아,예수,모세,요셉,0
11,사회주의,사회주의 가운데 완전한 계획경제를 고수하는 분파는?,2,2,전체주의,공동체주의,공산주의,국가주의,0
12,사회주의,초기 사회주의를 최초로 주장한 인물은?,2,2,무솔리니,마오쩌둥,로버트 오언,스탈린,2
13,사회주의,오늘날에 공산주의와 같은 뜻으로 치환되는 사상은?,0,2,사회주의,전체주의,공동체주의,자본주의,0
14,사회주의,중국식 경제 체제를 시행하는 국가로는 어디가 있는가?,3,2,미국,호주,오스트리아,중화인민공화국,0
15,사회주의,사회주의자가 아닌 사람은 ?,3,2,마르크스,엥겔스,레닌,애덤스미스,0
16,비디오_게임_문화,다음 중 닌텐도 게임이 아닌 것은 ?,3,2,모여봐요 동물의숲,마리오 파티,젤다의 전설,메이플 스토리,0
17,부활절,부활절은 양력과 음력 중 어느 것을 고려하여 지켜지는가?,1,2,양력,음력,둘다 해당 없음,양력음력 모두 고려,1
18,나쁜_녀석들___악의_도시,나쁜 녀석들은 어느 채널에서 방영되었나?,1,2,tvN,OCN,SBS,tv조선,1
19,비디오_게임_문화,자신의 정체성을 만들고 홍보하여 함께 교류할 수 있는 게임 내 집단은 무엇인가?,3,2,캐릭터,커뮤니티,게임방,클랜,1
20,태양의_후예,태양의 후예에서 유시진의 직업은?,1,2,의사,군인,변호사,간호사,1
21,사회주의,오늘날 사회주의 운동의 모태가 되는 이론은 무엇인가?,3,2,자본주의,국가주의,전체주의,계몽주의적 사회주의,0
22,너의_이름은.,너의 이름은 이라는 영화는 언제 초연되었나요?,0,2,2016년 7월 3일,2016년 12월 31일,2015년 2월 2일,2017년 7월 5일,2
23,인터스텔라,영화 인터스텔라의 감독은 누구인가?,0,2,크리스토퍼 놀란,저스틴 린,카일 뉴먼,조셉 바바라,0
24,사회주의,2차 대전이 끝난후 등장한 경제 체제는?,1,2,경제적 자유주의,사회민주주의적 혼합 경제,공산주의,자본주의,0
25,조선,서양인을 배척하기 위해 세워진 비는?,1,2,배척비,척화비,외세비,함흥비,0
26,사회주의,자유지상주의적 사회주의의 선구자는 누구인가?,0,2,바쿠닌,존 스튜어트 밀,애덤 스미스,케인즈,1
27,사회주의,사회주의 사상에서 경쟁보다 중요시 하는것은?,2,2,살상,욕심,협력,의지,0
28,조선,임진왜란때 불타서 소실된 것은?,1,2,창덕궁,경복궁,숭례문,흥인지문,1
29,비디오_게임_문화,게임을 좋아하고 게임에 열정을 가지고 있는 사람들을 무엇이라고 지칭하는가?,3,2,오타쿠,페인,스트리머,게이머,1
30,송중기,<태양의 후예>에서 송중기가 맡은 인물의 직업은?,0,2,군인,의사,배우,사업가,0
31,부활절,예수님의 부활을 기념하는 종교적인 행사는?,3,2,성탄절,사순절,대림절,부활절,0
32,인터스텔라,인터스텔라의 개봉 연도는?,0,2,2014년,2015년,2016년,2017년,1
33,근세_프랑스,자본가 계급을 뜻하는 프랑스어는 무엇입니까?,2,2,프롤레타리아,봉주르,부르주아,베네딕트,0
34,인터스텔라,2014년 개봉한 인터스텔라 영화 장르는?,3,2,전쟁 영화,로맨스 영화,액션 영화,공상 과학 영화,0
35,태양의_후예,태양의 후예에서 강모연의 직업은?,1,2,판사,의사,변호사,치과 의사,0
36,나쁜_녀석들___악의_도시,나쁜 녀석들 드라마의 부제는?,1,2,더 무비,악의 도시,베스 가이,악의 무리,1
37,싸이,2012년 10월 23일 싸이가 만난  UN 사무총장의 이름은?,0,2,반기문,안토니우 구테흐스,코피 아난,쿠르트 발트하임,0
38,싸이,강남스타일의 안무 중 큰 화재를 모은 춤은 무엇인가?,3,2,강남춤,소춤,개춤,말춤,0
39,비_(가수),2009년 개봉한 영화로 가수 비가 단독 주연한 헐리우드 메이저 영화는?,1,2,지아이조,닌자 어쌔신,어벤져스,메이즈 러너,0
0,바둑,집을 차지하기 위해 두 사람이 흑과 백의 돌을 서로 번갈아 두며 겨루는 놀이를 무엇이라 하는가?,1,3,장기,바둑,체스,젠가,0
1,FIFA_월드컵,아시아에서 처음으로 월드컵이 열린 년도는?,2,3,1994년,1998년,2002년,2006년,1
2,FIFA_월드컵,2022년 월드컵이 개최될 예정인 국가는?,2,3,일본,러시아,카타르,중국,1
3,FIFA_월드컵,2014년까지의 FIFA 월드컵 통계에서 대한민국은 월드컵에 총 몇 회 진출하였는가?,0,3,총 9회,총 8회,총 7회,총 6회,1
4,FIFA_월드컵,월드컵에서의 소속이 오세아니아에서 아시아로 변경된 국가는?,3,3,인도네시아,파푸아뉴기지,뉴질랜드,호주,2
5,FIFA_월드컵,FIFA 월드컵의 최다 본선 진출국은?,0,3,브라질,독일,프랑스,아르헨티나,2
6,FIFA_월드컵,역사상 아프리카에서 처음으로 FIFA 월드컵을 개최한 나라는?,1,3,나이지리아,남아프리카공화국,사우디아라비아,가나,0
7,바둑,바둑을 영어로 무엇이라 부르는가?,3,3,balck&white,Baduki,Asian chess,Go,1
8,바둑,바둑판은 가로와 세로줄이 각각 몇 줄인가?,0,3,19줄,20줄,21줄,22줄,2
9,육상_경기,이어달리기에서 가장 빠른 선수를 배치해야 하는 자리는?,2,3,첫번쨰 주자,두번쨰 주자,마지막 주자,상관없음,1
10,바둑,"두 사람 사이 바둑 실력에 차이가 날 때, 흑돌을 화점에 미리두고 시작하는 바둑을 무엇이라 하는가?",1,3,포석,접바둑,치받음,귀삼수,2
11,FIFA_월드컵,아시아에서 처음으로 개최된 월드컵은?,1,3,1998년 FIFA 월드컵,2002년 FIFA 월드컵,2006년 FIFA 월드컵,2010년 FIFA 월드컵,1
12,진종오,진종오가 주 종목인 50M 권총에서 금메달을 획득한 2008년에 개최된 올림픽은?,3,3,리우올림픽,런던올림픽,아테나올림픽,베이징 올림픽,1
13,동계_올림픽,아시아 최초로 동계 올림픽 메달을 획득한 나라는 어느 곳 인가요?,1,3,한국,일본,중국,네팔,1
14,2010년_FIFA_월드컵_결승전,FIFA 월드컵 역대 결승전에서 4번의 준우승을 거둔 나라는 어디인가?,0,3,독일,이탈리아,네덜란드,프랑스,1
15,FIFA_월드컵,대한민국이 2002년 월드컵에서 기록한 성적은?,2,3,16강,8강,4강,결승,1
16,FIFA_월드컵,아시아에서 월드컵 본선에 가장 많이 진출한 국가는?,3,3,일본,베트남,우즈베키스탄,대한민국,0
17,FIFA_월드컵,2014년 대회 개최국에 지원한 유일한 국가는 어디인가?,2,3,아르헨티나,프랑스,브라질,이탈리아,1
18,육상_경기,개인의 속력을 합리적으로 연결하여 4명의 협동심과 단결심이 요구되는 육상 경기의 이름은?,1,3,연속달리기,이어달리기,같이달리기,협동달리기,1
19,FIFA_월드컵,1982년 이전까지 유럽과 남미를 제외한 나라 중 월드컵 4강에 든 유일한 나라는?,0,3,미국,호주,러시아,나이지리아,1
20,2018년_FIFA_월드컵,"유럽축구연맹(UEFA)에 가입하지 않은 국가가 세 곳이 있다. 오스트레일리아, 일본, 그리고 한 국가는 어디일까?",1,3,프랑스,미국,러시아,중국,2
21,바둑,바둑은 흑과 백의 돌로 무엇을 차지하는 놀이인가?,3,3,땅,영역,자리,집,0
22,동계_올림픽,김연아 선수가 세계신기록을 세운 경기에서 아사다 마오 선수는 몇 위였나?,0,3,2위,3위,4위,5위,0
23,우사인_볼트,2008년 8월 16일 우사인 볼트가 세계 기록을 경신한 올림픽은?,3,3,리우올림픽,런던올림픽,아테나올림픽,베이징 올림픽,2
24,박태환,박태환이 대한민국 최초로 올림픽에서 금메달을 획득한 종목은?,2,3,자유형 100m,자유형 200m,자유형 400m,자유형 1500m,0
25,김연경,"2008~2009 시즌 여자부 최초로 V-리그 득점 2,000점과 공격 득점 2,000점을 돌파하는 기록을 세운 여자 배구 선수는?",2,3,양효진,이다영,김연경,박정아,0
26,FIFA_월드컵,시드를 우선적으로 배정받은 7개 팀을 뭐라고 부르나?,2,3,베스트시드,라스트시드,톱시드,세븐시드,1
27,박태환,한국인 최초로 수영 올림픽 메달을 획득한 인물은?,1,3,조오련,박태환,김서영,장규철,1
28,박태환,박태환이 테스토스테론 뿐만 아니라 맞은 또 다른 금지약물은?,2,3,동화작용제,카나비노이드,성장호르몬 주사,에페드린,1
29,동계_올림픽,2010년 동계 올림픽에 피겨스케이팅에서 세계신기록을 세운 대한민국 선수의 이름은 무엇인가?,3,3,곽민정,손연재,김예림,김연아,0
30,FIFA_월드컵,나치 독일에 흡수되어 월드컵 본선에 진출하지 못한 나라는?,1,3,루마니아,오스트리아,체코,스위스,1
31,육상_경기,높이뛰기의 일종으로 장대를 상자에 꼽아 바를 넘는 경기의 이름은?,2,3,장대넓이뛰기,장대넘기,장대높이뛰기,장대날아뛰기,1
32,동계_올림픽,김연아 선수가 세계신기록을 세우며 금메달을 따낸 올림픽은?,1,3,2006년 동계 올림픽,2010년 동계 올림픽,2014년 동계 올림픽,2018년 동계 올림픽,1
33,동계_올림픽,대한민국이 총 10개의 매달 중 쇼트트랙에서만 6개의 매달을 딴 올림픽은?,0,3,2006년 동계 올림픽,2010년 동계 올림픽,2014년 동계 올림픽,2018년 동계 올림픽,2
34,육상_경기,육상경기의 강국들은 아프리카 대륙과 어느 대륙이 주를 이루는가?,0,3,북아메리카,아시아,유럽,오세아니아,1
35,그랜드_슬램_(테니스),테니스 4대 대회에서 모두 우승한 선수들은 무엇을 달성한 것인가?,2,3,빅 슬램,라지 슬램,그랜드 슬램,베스트 슬램,0
36,그랜드_슬램_(테니스),테니스 4대 대회 중 3개 대회에서 우승한 선수들은 무엇을 달성한 것인가?,1,3,쓰리 슬램,스몰 슬램,타이니 슬램,그랜드 슬램,1
37,FIFA_월드컵,2002년 월드컵 8강에 진출한 나라 중 아시아 대륙에 소속된 나라는?,1,3,호주,대한민국,일본,베트남,0
38,2018년_FIFA_월드컵,2018년 FIFA 월드컵 개최국은 어디인가?,3,3,독일,카타르,브라질,러시아,1
39,FIFA_월드컵,2002년 월드컵을 대한민국과 같이 개최한 나라는?,0,3,일본,중국,북한,호주,0
